Tahun,Bulan,Premium,Medium,Luar Kualitas,Date
2020,Januari,10032.66,9805.4,9518.85,1/1/2020
2020,Februari,10080.8,9844.13,9521.95,1/2/2020
2020,Maret,10082.43,9826.68,9460.76,1/3/2020
2020,April,10018.19,9671.03,8989,1/4/2020
2020,Mei,9826.63,9526.55,8972.52,1/5/2020
2020,Juni,9918.95,9445.31,8926.15,1/6/2020
2020,Juli,9931.71,9316.3,8919.58,1/7/2020
2020,Agustus,9962.65,9334.9,8986.32,1/8/2020
2020,September,9871.12,9404.58,9026.05,1/9/2020
2020,Oktober,9812.9,9462.81,9146.54,1/10/2020
2020,November,9714.5,9384.98,9094.69,1/11/2020
2020,Desember,9787.86,9382.69,9055.5,1/12/2020
2021,Januari,9780.19,9404.74,9036.42,1/1/2021
2021,Februari,9772.1,9386.31,9145.73,1/2/2021
2021,Maret,9606.97,9153.68,8741.8,1/3/2021
2021,April,9549.76,8978.86,8675.23,1/4/2021
2021,Mei,9627.08,8909.5,8710.44,1/5/2021
2021,Juni,9537.16,8906.67,8694.95,1/6/2021
2021,Juli,9401.61,8886.9,8481.43,1/7/2021
2021,Agustus,9499.36,8915.75,8688.77,1/8/2021
2021,September,9455.56,8962.39,8588.59,1/9/2021
2021,Oktober,9449.47,9010.82,8630.83,1/10/2021
2021,November,9539.29,9071.94,8711.19,1/11/2021
2021,Desember,9672.54,9128.44,8888.5,1/12/2021
2022,Januari,9824.23,9381.24,9038.14,1/1/2022
2022,Februari,9826.88,9358.61,9061.74,1/2/2022
2022,Maret,9786.63,9323.35,9061.05,1/3/2022
2022,April,9576.75,9104.35,8853.24,1/4/2022
2022,Mei,9512.63,9065.18,8902.12,1/5/2022
2022,Juni,9497.4,9007.86,8848.66,1/6/2022
2022,Juli,9628.57,9091.92,8905.52,1/7/2022
2022,Agustus,9901.15,9358.34,9069.27,1/8/2022
2022,September,10252.31,9785.04,9465.63,1/9/2022
2022,Oktober,10402.23,10043.47,9516.09,1/10/2022
2022,November,10511.71,10122.15,9542.12,1/11/2022
2022,Desember,10954.01,10371.11,9806.58,1/12/2022
2023,Januari,11345.1,10801.71,10227.61,1/1/2023
2023,Februari,11818.17,11300.76,10467.91,1/2/2023
2023,Maret,11681.09,11121.88,10475.91,1/3/2023
2023,April,11672.19,11049.87,10564.51,1/4/2023
2023,Mei,11623.61,11005.56,10428.81,1/5/2023
2023,Juni,11525.14,11079.92,10315.48,1/6/2023
2023,Juli,11537.44,11120.58,10302.59,1/7/2023
2023,Agustus,11754.39,11474.96,10525.23,1/8/2023
2023,September,12900.47,12685.36,11745.5,1/9/2023
2023,Oktober,13371.54,13011.56,12381.31,1/10/2023
2023,November,13249.9,12959.5,12534.91,1/11/2023
2023,Desember,13347.93,13070.7,12530.28,1/12/2023
2024,Januari,13662.99,13187.17,13057.07,1/1/2024
2024,Februari,14525.25,14161.81,13664.2,1/2/2024
